"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:44:40,1863146","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\exefile","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1863279","sodinokibi.exe","8376","RegQueryValue","HKCR\exefile\NeverShowExt","NAME NOT FOUND","Length: 12"
"14:44:40,1863409","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"14:44:40,1863521","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1863895","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1864021","sodinokibi.exe","8376","RegQueryValue","HKCR\SystemFileAssociations\.exe\NeverShowExt","NAME NOT FOUND","Length: 12"
"14:44:40,1864386","sodinokibi.exe","8376","RegCloseKey","HKCR\.exe","SUCCESS",""
"14:44:40,1864785","sodinokibi.exe","8376","RegCloseKey","HKCR\exefile","SUCCESS",""
"14:44:40,1864902","sodinokibi.exe","8376","RegCloseKey","HKCR\SystemFileAssociations\.exe","SUCCESS",""
"14:44:40,1865924","sodinokibi.exe","8376","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:44:40,1866018","sodinokibi.exe","8376","RegQueryKey","HKLM","SUCCESS","Query: Name"
"14:44:40,1866618","sodinokibi.exe","8376","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Desired Access: Read"
"14:44:40,1867056","sodinokibi.exe","8376","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"14:44:40,1867211","sodinokibi.exe","8376","RegQueryKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"14:44:40,1867316","sodinokibi.exe","8376","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}","SUCCESS","Desired Access: Read"
"14:44:40,1867513","sodinokibi.exe","8376","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS",""
"14:44:40,1867633","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\Category","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"14:44:40,1867739","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\Name","SUCCESS","Type: REG_SZ, Length: 16, Data: Desktop"
"14:44:40,1867856","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\ParentFolder","NAME NOT FOUND","Length: 90"
"14:44:40,1867960","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\Description","NAME NOT FOUND","Length: 144"
"14:44:40,1868890","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\RelativePath","SUCCESS","Type: REG_SZ, Length: 16, Data: Desktop"
"14:44:40,1869080","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\ParsingName","NAME NOT FOUND","Length: 144"
"14:44:40,1869938","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\InfoTip","NAME NOT FOUND","Length: 144"
"14:44:40,1870260","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\LocalizedName","SUCCESS","Type: REG_EXPAND_SZ, Length: 84, Data: @%SystemRoot%\system32\shell32.dll,-21769"
"14:44:40,1870744","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\Icon","SUCCESS","Type: REG_EXPAND_SZ, Length: 80, Data: %SystemRoot%\system32\imageres.dll,-183"
"14:44:40,1870880","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\Security","NAME NOT FOUND","Length: 144"
"14:44:40,1870985","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\StreamResource","NAME NOT FOUND","Length: 144"
"14:44:40,1871083","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\StreamResourceType","NAME NOT FOUND","Length: 144"
"14:44:40,1871177","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\LocalRedirectOnly","NAME NOT FOUND","Length: 16"
"14:44:40,1871271","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\Roamable","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"14:44:40,1871482","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\PreCreate","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"14:44:40,1871582","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\Stream","NAME NOT FOUND","Length: 16"
"14:44:40,1871674","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\PublishExpandedPath","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"14:44:40,1871770","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\DefinitionFlags","NAME NOT FOUND","Length: 16"
"14:44:40,1871857","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\Attributes","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"14:44:40,1872110","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\FolderTypeID","NAME NOT FOUND","Length: 90"
"14:44:40,1872206","sodinokibi.exe","8376","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\InitFolderHandler","NAME NOT FOUND","Length: 90"
"14:44:40,1872482","sodinokibi.exe","8376","RegQueryKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"14:44:40,1872604","sodinokibi.exe","8376","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}\PropertyBag","SUCCESS","Desired Access: Read"
"14:44:40,1872929","sodinokibi.exe","8376","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B4BFCC3A-DB2C-424C-B029-7FE99A87C641}","SUCCESS",""
